,타이틀,링크,회사명,태그,설명,태그1,태그2,태그3,태그4,태그5,태그6,태그7
557,Metanet그룹 채용 연계형 교육 인턴 모집공고,/Recruit/GI_Read/42915489?rPageCode=SL&logpath=21,메타넷디지털㈜,"['신입·경력', '학력무관', '서울마포구', '연수생/교육생']","서버관리, 클라이언트, 핀테크, HTTP, SI개발, GUI, 반응형웹, 인터페이스, 핀테크, SI개발, 메타버스, 네트워크관리, 서버구축, 시스템분석, 시스템설계, 시스템운영, 펌웨어, 서버관리, 서버구축, 시스템운영, OLAP개발자, 데이터관리, DBMS",신입·경력,학력무관,서울마포구,연수생/교육생,,,
558,[100프로 취업지원] 국비무료 취준생 모집,/Recruit/GI_Read/42879768?rPageCode=SL&logpath=21,㈔한국디지털컨버전스협회,"['신입·경력', '고졸↑', '서울영등포구외', '연수생/교육생']","방송송출·송신, 인터넷방송, CG, 빅데이터, 디지털마케팅, vr, 촬영보조, 출판기획, UI·UX기획, CG, CG, 데이터분석, 영상제작, 모션그래픽, 재단법인, 촬영기자, 프로모션, 직업훈련, IBM디자인, 방송기획, 아바타디자인, 프로덕션, 교재디자인, 교정, 방송기획, 사단법인, 이벤트기획사, 제안·컨설팅, 영상제작, 방송제작, 정보디자인, 영상제작, 제휴마케팅, 취업상담, 삽화·일러스트, 2D디자인, 모션그래픽, 모바일디자인, 앱기획, UI·UX기획, 바이럴마케팅, 애니메이션, 특수효과, 영상제작, 콘텐츠기획, 2D디자인, 멀티미디어, 게임기획, 디지털디자인, 스토리보드, 자격증·기술, SNS마케팅, 삽화·일러스트, 디지털디자인, 협회, AR, SNS마케팅, 직업훈련, 서비스기획, 콘텐츠기획, 삽화·일러스트, 모션그래픽, 인코딩, 모션그래픽, 촬영보조",신입·경력,고졸↑,서울영등포구외,연수생/교육생,,,
559,[교육 후 즉시 취업] 세일즈포스 개발자 양성 과정 모집,/Recruit/GI_Read/42888438?rPageCode=SL&logpath=21,아이투맥스,"['경력무관', '학력무관', '서울마포구외', '연수생/교육생']","모바일앱개발, GUI, SM, SI개발, SI, 서버관리, CRM, SI개발, 증강현실, 인터페이스, 반응형웹, 클라이언트, 핀테크, 소프트웨어개발, 가상현실, 핀테크, HTTP",경력무관,학력무관,서울마포구외,연수생/교육생,,,
560,[국비무료IT취업교육생모집]JAVA개발자/풀스택개발자/프론트엔드/백엔드/빅데이터/개발자취업교육과정/취업연계매칭시스템,/Recruit/GI_Read/42896633?rPageCode=SL&logpath=21,㈜하이미디어아카데미,"['경력무관', '학력무관', '서울', '연수생/교육생']","네트워크관리, GUI, 빅데이터, OLAP개발자, 데이터관리, 암호화폐, SI개발, 웹표준·웹접근성, 증강현실, 펌웨어, 데이터레이크, 인터페이스, 검증, GUI, 데이터분석, 음성인식, SI개발, 테스터, DBMS, 시스템설계, 웹마스터, 회로설계, 딥러닝, 데이터시각화, 암호화폐, ETL, 서버구축, 시스템분석, 시스템운영, 제안·컨설팅, 서버관리, 인공지능, 챗봇, 시스템운영, BI, 모델링, 방화벽, 시스템분석, 정보보안, 가상현실, 반응형웹, 앱기획, 이미지프로세싱, 클라이언트, SI개발, UI·UX기획, 네트워크관리, 웹마스터, 자연어처리(NLP), 클라이언트, 콘텐츠기획, DID, SI개발, 모델링, 보안관제, 시스템분석, 시스템설계, 증강현실, 데이터분석, 인터페이스, 솔루션스아키텍트, 게임기획, 스토리보드, 펌웨어, MMORPG, 클라우드개발자, 분석모델링, 메타버스, 네트워크관리, 정보보안, 데이터마이닝, 아키텍처, 챗봇, 서버구축, 시스템설계, 반응형웹, 핀테크, DW모델러, 서비스기획, 서버관리, 암호화폐, 음성인식, 클라우드아키텍트, 클라이언트, 핀테크, Dapp, 검증, 네트워크관리, 가상현실, 핀테크, HTTP, 데이터파이프라인, 모델링, DB튜닝, 스마트컨트랙트, 메타버스",경력무관,학력무관,서울,연수생/교육생,,,
561,[국비무료IT취업교육] AI교육/자바(JAVA)웹/앱개발/프론트엔드/백앤드/풀스택/빅데이터/IT전문교육 취업연계시스템 교육,/Recruit/GI_Read/42887733?rPageCode=SL&logpath=21,(주)제이엠피코리아,"['신입·경력', '고졸↑', '서울구로구외', '연수생/교육생']","빅데이터, SI개발, 인터페이스, SI개발, 데이터시각화, 암호화폐, 서버구축, 서버관리, 챗봇, 시스템운영, BI, 시스템분석, 네트워크관리, 시스템설계, 증강현실, 데이터분석, 인터페이스, 분석모델링, IT학원, 서버구축, 반응형웹, 서버관리, 음성인식, 클라이언트, 핀테크, 네트워크관리, 가상현실, 핀테크, HTTP, 데이터파이프라인",신입·경력,고졸↑,서울구로구외,연수생/교육생,,,
562,[인터파크/삼성동] IT 구매팀 채용(PC 자산관리 및 유지보수),/Recruit/GI_Read/42873873?rPageCode=SL&logpath=21,㈜맨파워코리아,"['경력무관', '학력무관', '서울강남구외', '파견직', '233~265만원(월)']","비품관리, 전자상거래, 쇼핑몰, 오픈마켓, 자산관리",경력무관,학력무관,서울강남구외,파견직,233~265만원(월),,
563,AI엔지니어 채용 (병역특례 전문연구요원),/Recruit/GI_Read/42931128?rPageCode=SL&logpath=2,㈜테스트웍스,"['경력무관', '석사↑', '서울송파구', '정규직외']",IT컨설팅,경력무관,석사↑,서울송파구,정규직외,,,
564,java .net android IOS 개발자 모집,/Recruit/GI_Read/42935810?rPageCode=SL&logpath=2,위쉬정보기술㈜,"['신입·경력1년↑', '학력무관', '서울구로구', '정규직외']","SM, SI, ERP",신입·경력1년↑,학력무관,서울구로구,정규직외,,,
565,C# 개발 경력사원 모집,/Recruit/GI_Read/42935673?rPageCode=SL&logpath=2,위쉬정보기술㈜,"['경력무관', '학력무관', '서울구로구외', '정규직외']","SM, SI, ERP",경력무관,학력무관,서울구로구외,정규직외,,,
566,kB국은행 퍼블리셔 경력사원모집,/Recruit/GI_Read/42935721?rPageCode=SL&logpath=2,위쉬정보기술㈜,"['경력1년↑', '학력무관', '서울구로구', '정규직외']","SM, SI, ERP",경력1년↑,학력무관,서울구로구,정규직외,,,
