링크,회사명,법인명,채용내용,태그,뱃지,근무지,모집구분,학력조건
/zf_user/jobs/relay/view?view_type=list&rec_idx=46621426,셰플러코리아(유),None,각 부문 신입/경력사원 모집,"['기술지원데이터분석가데이터엔지니어백엔드', '서버개발앱개발 외']",IT개발·데이터 지원 급상승,서울 영등포구 외,신입 · 경력 · 정규직,대학교(4년)↑
/zf_user/jobs/relay/view?view_type=list&rec_idx=46635669,(주)버블콘,None,(주)버블콘 개발자/PM/서비스기획 채용,"['데이터분석가데이터엔지니어백엔드', '서버개발프론트엔드SI개발 외']",워라밸,서울 구로구 외,경력 3년↑ · 정규직,학력무관
/zf_user/jobs/relay/view?view_type=list&rec_idx=46614688,(주)에스앤아이코퍼레이션,None,"[S&I] 본사 사무직 경력직 채용 (IT, 서비스/상품, 구매, 경영, 영업)","['백엔드', '서버개발프론트엔드반응형웹웹표준·웹접근성크로스브라우징 외']",인기있는,서울 강서구 외,경력 3년↑ · 정규직,대학교(4년)↑
/zf_user/jobs/relay/view?view_type=list&rec_idx=46616449&adsCategoryItem=effect_bold&,(주)이노메트리,None,[2차전지 장비업] 23년 하반기 신입 및 경력 공개 채용,"['기술지원데이터분석가데이터엔지니어H', 'WS', 'W 외']",인기있는,경기 화성시 외,신입 · 경력 · 정규직,학력무관
/zf_user/jobs/relay/view?view_type=list&rec_idx=46618206&adsCategoryItem=effect_bold&,에스엠하이플러스(주),SM그룹,각 부문별 경력직 채용(재무팀/시스템개발팀),['정보보안네트워크미들웨어인프라Apache 외'],대기업 인기 TOP100,서울 강서구,경력 2년↑ · 정규직,"대학(2,3년)↑"
/zf_user/jobs/relay/view?view_type=list&rec_idx=46631706&adsCategoryItem=effect_bold&,후지(주),None,2023년 FUJEE 하반기 각 부문 공개채용,['데이터분석가데이터엔지니어웹마스터유지보수빅데이터 외'],구매·자재·물류 지원 급상승,경기 화성시 외,신입 · 경력 · 정규직,"대학(2,3년)↑"
/zf_user/jobs/relay/view?view_type=list&rec_idx=46636416,(주)트랜스코스모스코리아,None,[일10콜/최대260만] 기업고객대상 윈도우 구매 안내 My2E,['IT컨설팅SE(시스템엔지니어)네트워크방화벽빅데이터 외'],100명 이상,서울 중구 외,경력무관 · 정규직,학력무관
/zf_user/jobs/relay/view?view_type=list&rec_idx=46638214,베이스라인파트너스(주),None,구매 솔루션 사용 담당자 채용[경력],['SAP구매관리구매기획SCM개발구매 외'],취업축하금,서울 강서구 외,경력 1년↑ · 정규직,대학교(4년)↑
/zf_user/jobs/relay/view?view_type=list&rec_idx=46635705&adsCategoryItem=effect_bold&,(주)코윈테크,코윈테크그룹,2023년 4분기 각 부문 수시채용,"['기술지원백엔드', '서버개발유지보수네트워크알고리즘 외']",인기있는,충남 아산시 외,신입 · 경력 · 정규직,고졸↑
/zf_user/jobs/relay/view?view_type=list&rec_idx=46366150,(주)푸드테크,우아한형제들그룹,㈜푸드테크 하반기 신입/경력 전부문 채용,"['데이터분석가데이터엔지니어백엔드', '서버개발웹개발웹마스터 외']",인기있는,서울 강남구 외,신입 · 경력 · 정규직,"대학(2,3년)↑"
/zf_user/jobs/relay/view?view_type=list&rec_idx=46624385,(주)한국씨티은행,씨티그룹,[한국씨티은행] 각 부문 경력직 채용 공고,['앱개발웹개발웹마스터유지보수정보보안 외'],금융·보험 조회 TOP100,서울 영등포구 외,경력 · 계약직,학력무관
/zf_user/jobs/relay/view?view_type=list&rec_idx=46636449,하이퍼커넥트유한책임회사,None,Site Reliability Engineer,['AWSGoLangLinuxPython'],None,서울 강남구,경력무관 · 정규직,학력무관
/zf_user/jobs/relay/view?view_type=list&rec_idx=46578401&adsCategoryItem=effect_bold&,다보코퍼레이션(주),다보코퍼레이션그룹,2023년도 기술연구소 신입 및 경력직 연구원 모집,"['SE(시스템엔지니어)H', 'WS', 'W기술엔지니어설계엔지니어 외']",급성장중,서울 금천구,신입 · 경력 · 정규직,"대학(2,3년)↑"
/zf_user/jobs/relay/view?view_type=list&rec_idx=46635842,(주)엑셈,엑셈그룹,[코스닥상장사] 솔루션 Product Manager (경력 3년 이상),['데이터분석가데이터엔지니어데이터마이닝빅데이터ETL 외'],취업축하금,서울 강서구 외,3 ~ 7년 · 정규직,학력무관
/zf_user/jobs/relay/view?view_type=list&rec_idx=46636786,비씨카드(주),케이티그룹,2023년 하반기 신입사원 채용,['데이터분석가빅데이터AI(인공지능)마케팅전략사업기획 외'],None,서울 중구,신입,대학교(4년)↑
/zf_user/jobs/relay/view?view_type=list&rec_idx=46637243&adsCategoryItem=effect_bold&,(주)진이어스,진이어스그룹,웹 개발자 경력직 채용(경력 3년 이상),"['백엔드', '서버개발웹개발웹마스터유지보수DBA 외']",장기근속 포상,서울 강남구 외,경력 3년↑ · 정규직,"대학(2,3년)↑"
/zf_user/jobs/relay/view?view_type=list&rec_idx=46638336,(주)패션플러스,어센틱브랜즈홀딩스그룹,정보보호 담당자(ISMS) 채용,['보안컨설팅웹개발정보보안CISO네트워크 외'],취업축하금,경기전체 외,2 ~ 5년 · 정규직,"대학(2,3년)↑"
/zf_user/jobs/relay/view?view_type=list&rec_idx=46633862,(주)카네비모빌리티 광교지점,None,SW 전장개발 경력 채용,"['RTOSS', 'WC언어설계엔지니어기계설계 외']",취업축하금,경기 수원시 영통구 외,3 ~ 20년 · 정규직,대학교(4년)↑
/zf_user/jobs/relay/view?view_type=list&rec_idx=46638028,(주)엔엑스쓰리게임즈,None,[Project T] 개발 PM,"['게임개발QA', '테스터Unity게임기획PM(프로젝트매니저) 외']",None,서울 강남구,경력 2년↑ · 정규직,학력무관
/zf_user/jobs/relay/view?view_type=list&rec_idx=46639066,(주)엠포스,엠포스그룹,백엔드 개발자 경력직 채용,"['백엔드', '서버개발웹개발DBASE(시스템엔지니어)인프라 외']",취업축하금,서울 서초구 외,3 ~ 10년 · 정규직,"대학(2,3년)↑"
/zf_user/jobs/relay/view?view_type=list&rec_idx=46639546,(주)레이시온,None,SW개발자 정규직 채용,"['S', 'WC#WebRTCWPF레이저가공 외']",취업축하금,경기 오산시 외,경력 · 정규직,"대학(2,3년)↑"
/zf_user/jobs/relay/view?view_type=list&rec_idx=46438067,(주)인텔리안테크놀로지스,인텔리안테크놀로지스그룹,"23년 하반기 공개채용(PM, S/W, F/W개발, 기구설계 외)","['기술지원백엔드', '서버개발앱개발웹개발퍼블리셔 외']",IT개발·데이터 조회 TOP100,경기 평택시 외,신입 · 경력 · 정규직,대학교(4년)↑
/zf_user/jobs/relay/view?view_type=list&rec_idx=46611080,케이아이에스정보통신(주),NICE그룹,[NICE그룹] KIS정보통신 2023년 정규직(신입/경력) 공개채용,"['웹개발웹마스터퍼블리셔프론트엔드S', 'W 외']",인기있는,서울 구로구 외,신입 · 경력 · 정규직,대학교(4년)↑
/zf_user/jobs/relay/view?view_type=list&rec_idx=46636471&adsCategoryItem=effect_bold&,주식회사 하이엔드코리아,None,[LG이노텍 파주/구미] 대기업계약직/스마트폰부품/기숙사/통근차,['임베디드기계조작원단순생산직생산관리QA 외'],인기있는,경기 파주시 외,경력무관 · 계약직,학력무관
/zf_user/jobs/relay/view?view_type=list&rec_idx=46635787,센시리온오토모티브솔루션즈코리아(주),None,IT 시스템 엔지니어 채용 [유럽계 자동차부품사],['기술지원데이터분석가데이터엔지니어정보보안SE(시스템엔지니어) 외'],취업축하금,서울 구로구 외,경력 3년↑ · 정규직,대학교(4년)↑
/zf_user/jobs/relay/view?view_type=list&rec_idx=46636973,(주)클래스팅,None,프론트엔드 개발자 (Frontend),"['백엔드', '서버개발프론트엔드GitReactTypeScript']",None,서울 강남구,경력 3년↑ · 정규직,학력무관
/zf_user/jobs/relay/view?view_type=list&rec_idx=46638618,(주)케이템,None,머신비전 S/W 개발 및 영상처리 경력 정규직 채용,"['SE(시스템엔지니어)SI개발머신러닝영상처리S', 'W 외']",취업축하금,인천 연수구 외,1 ~ 10년 · 정규직,고졸↑
/zf_user/jobs/relay/view?view_type=list&rec_idx=46575480&adsCategoryItem=effect_bold&,(주)비보존제약,비보존제약그룹,부문별 신입/경력 공개채용,['데이터분석가데이터엔지니어유지보수ERPC# 외'],회계·세무·재무 스크랩 TOP100,경기 화성시 외,신입 · 경력 · 정규직 외,고졸↑
/zf_user/jobs/relay/view?view_type=list&rec_idx=46639782,디앤에스에버(주),None,Frontend 개발자 채용,['웹개발퍼블리셔프론트엔드반응형웹웹표준·웹접근성 외'],취업축하금,서울 강남구 외,5 ~ 10년 · 정규직,학력무관
/zf_user/jobs/relay/view?view_type=list&rec_idx=46635559,(주)에스앤아이코퍼레이션,None,"[S&I] 시설관리(기계,전기,소방), 시공관리, 기술지원 경력 채용",['데이터분석가데이터엔지니어네트워크IDC시설관리 외'],인기있는,서울전체 외,경력 · 정규직,"대학(2,3년)↑"
/zf_user/jobs/relay/view?view_type=list&rec_idx=46635951&adsCategoryItem=effect_bold&,(주)강원랜드,강원랜드그룹,2023년 하반기 신입직 채용 공고,"['보안컨설팅정보보안정보통신제과', '제빵사조리사 외']",건설·건축 지원 TOP100,강원 정선군 외,신입 · 인턴직,학력무관
/zf_user/jobs/relay/view?view_type=list&rec_idx=46639790,디앤에스에버(주),None,데브옵스/클라우드/인프라 엔지니어(AWS) 채용,"['백엔드', '서버개발웹개발DBASE(시스템엔지니어)인프라 외']",취업축하금,서울 강남구 외,3 ~ 10년 · 정규직,학력무관
/zf_user/jobs/relay/view?view_type=list&rec_idx=46567751,(주)대우루컴즈,None,대우루컴즈 경력/신입 채용,"['기술지원백엔드', '서버개발앱개발유지보수QA', '테스터 외']",인기있는,서울 서초구 외,신입 · 경력 · 정규직,학력무관
/zf_user/jobs/relay/view?view_type=list&rec_idx=46609475,(주)두산,두산그룹,2023 하반기 두산그룹 대규모 경력 채용,['기술지원데이터분석가데이터엔지니어IT컨설팅데이터라벨링 외'],영업·판매·무역 지원 TOP100,서울 동대문구 외,경력 · 정규직,대학교(4년)↑
/zf_user/jobs/relay/view?view_type=list&rec_idx=46616625&adsCategoryItem=effect_bold&,(주)필옵틱스,필옵틱스그룹,[기술연구소] 기술인력(전문연구요원) 모집,"['임베디드H', 'W인터페이스연구원R&D 외']",인기있는,경기 오산시,경력무관 · 정규직,석사↑
/zf_user/jobs/relay/view?view_type=list&rec_idx=46638612,(주)케이템,None,머신비전 S/W 개발 및 영상처리 신입 정규직 채용,"['SE(시스템엔지니어)SI개발머신러닝영상처리S', 'W 외']",취업축하금,인천 연수구 외,신입 · 정규직,고졸↑
/zf_user/jobs/relay/view?view_type=list&rec_idx=46635359,(주)아이투맥스,None,Java 개발자(4년 이상),"['백엔드', '서버개발웹개발프론트엔드DBAECMAScript 외']",취업축하금,경기전체 외,4 ~ 10년 · 정규직,학력무관
/zf_user/jobs/relay/view?view_type=list&rec_idx=46583920,(주)풍산,풍산그룹,풍산그룹 신입사원 모집,['보안컨설팅정보보안네트워크알고리즘SAP 외'],생산 지원 TOP100,서울 서대문구 외,신입 · 정규직,대학교(4년)↑
/zf_user/jobs/relay/view?view_type=list&rec_idx=46619953&adsCategoryItem=effect_bold&,(주)나다,None,AI 디지털 트윈 응용 엔지니어,['SE(시스템엔지니어)네트워크AI(인공지능)연구원R 외'],워라밸,경기 성남시 분당구,신입 · 경력 · 정규직,대학교(4년)↑
/zf_user/jobs/relay/view?view_type=list&rec_idx=46589035&adsCategoryItem=effect_bold&,(주)에이치에스씨엠티,None,각 부문 경력/신입 모집,"['기술지원데이터분석가데이터엔지니어백엔드', '서버개발유지보수 외']",인기있는,경기 용인시 기흥구 외,신입 · 경력 · 정규직,학력무관
/zf_user/jobs/relay/view?view_type=list&rec_idx=46629285,인아그룹,None,2023년 하반기 인아그룹 사원 채용,"['기술지원백엔드', '서버개발보안컨설팅웹개발유지보수 외']",영업·판매·무역 조회 TOP100,인천 남동구 외,신입 · 경력 · 정규직,고졸↑
