,년,월,제목,부제목,링크,작가,출판사,출판일,가격,리뷰,리뷰링크,별점,태그,book_id
77,2023,8,지구 끝의 온실,,https://www.yes24.com//Product/Goods/103026125,['김초엽'],자이언트북스,2021년 08월,"13,500원",260,https://www.yes24.com/Product/Goods/103026125?ReviewYn=Y,9.6,"['#2020젊은작가TOP5', '#최신작알림신청인기작가', '#2021젊은작가TOP5', '#룸펜레터에소개된책', '#가을에어울리는책']",103026125
78,2023,8,타키 포오 코믹 어드벤처 2,,https://www.yes24.com//Product/Goods/119105311,['캐릭온TV'],대원씨아이(단행)(대원키즈),2023년 05월,"11,700원",4,https://www.yes24.com/Product/Goods/119105311?ReviewYn=Y,10.0,"['#애니메이션', '#유튜버']",119105311
79,2023,8,2024 전한길 한국사 합격생 필기노트,,https://www.yes24.com//Product/Goods/119285309,['전한길'],메가스터디교육(공무원),2023년 06월,"13,500원",19,https://www.yes24.com/Product/Goods/119285309?ReviewYn=Y,9.8,[],119285309
80,2023,8,"2023 큰별쌤 최태성의 별별한국사 시대별 기출문제집 한국사능력검정시험 심화(1,2,3급)",,https://www.yes24.com//Product/Goods/116257800,['최태성'],이투스북,2022년 12월,"17,100원",10,https://www.yes24.com/Product/Goods/116257800?ReviewYn=Y,10.0,['#분철'],116257800
81,2023,8,연수,,https://www.yes24.com//Product/Goods/119610004,['장류진'],창비,2023년 06월,"15,120원",21,https://www.yes24.com/Product/Goods/119610004?ReviewYn=Y,9.8,"['#책읽아웃', '#이웃의풍경', '#재기발랄', '#긴여운', '#희망의메시지']",119610004
82,2023,8,가끔씩 툭하고 러시아어로 부끄러워하는 옆자리의 아랴 양 4.5 특별판,,https://www.yes24.com//Product/Goods/121561698,['SUN SUN SUN'],디앤씨미디어(D&C미디어),2023년 08월,"29,700원",6,https://www.yes24.com/Product/Goods/121561698?ReviewYn=Y,10.0,['#이라이트노벨이대단하다'],121561698
83,2023,8,흔한남매 수수께끼 어드벤처 3,,https://www.yes24.com//Product/Goods/119841961,['흔한남매'],미래엔아이세움,2023년 07월,"12,600원",48,https://www.yes24.com/Product/Goods/119841961?ReviewYn=Y,10.0,"['#학습만화', '#유튜브크리에이터', '#유튜버', '#수수께끼']",119841961
84,2023,8,토니 로빈스 거인의 생각법,내 안의 무한 능력을 꺼내는 힘,https://www.yes24.com//Product/Goods/118997065,['토니 로빈스(앤서니 라빈스)'],알에이치코리아(RHK),2023년 05월,"17,100원",41,https://www.yes24.com/Product/Goods/118997065?ReviewYn=Y,9.8,[],118997065
85,2023,8,알사탕,,https://www.yes24.com//Product/Goods/37525716,['백희나'],책읽는곰,2017년 03월,"10,800원",277,https://www.yes24.com/Product/Goods/37525716?ReviewYn=Y,9.8,"['#라키비움J수록도서', '#올해의책', '#KBS2TV북유럽', '#린드그렌상수상작가', '#상상력']",37525716
86,2023,8,아몬드,,https://www.yes24.com//Product/Goods/119697570,['손원평'],다즐링,2023년 07월,"15,120원",5,https://www.yes24.com/Product/Goods/119697570?ReviewYn=Y,9.4,[],119697570
87,2023,8,다정한 것이 살아남는다,친화력으로 세상을 바꾸는 인류의 진화에 관하여,https://www.yes24.com//Product/Goods/102836095,['브라이언 헤어'],디플롯,2021년 07월,"19,800원",141,https://www.yes24.com/Product/Goods/102836095?ReviewYn=Y,9.0,"['#인문위클리레터에소개된책', '#문재인대통령이읽은책', '#김영하작가추천', '#책읽어주는나의서재', '#책씨앗2022최고의책']",102836095
88,2023,8,디즈니 과학 대탐험 1 우주와 행성,과학 영재들을 위한 흥미진진한 지적 모험,https://www.yes24.com//Product/Goods/120792569,['빅 히어로'],라곰스쿨,2023년 07월,"13,320원",9,https://www.yes24.com/Product/Goods/120792569?ReviewYn=Y,9.8,"['#초등교과연계', '#재미있는과학', '#학습만화', '#쉽게배우는과학', '#정재승작가추천']",120792569
89,2023,8,미래엔 중학교 국어 1-2 평가문제집 (신유식) 중1,,https://www.yes24.com//Product/Goods/119275862,None,미래엔,2018년 05월,"15,300원",0,None,0,[],119275862
90,2023,8,설득의 심리학 1,사람의 마음을 사로잡는 7가지 불변의 원칙,https://www.yes24.com//Product/Goods/118483018,['로버트 치알디니'],21세기북스,2023년 04월,"28,800원",9,https://www.yes24.com/Product/Goods/118483018?ReviewYn=Y,9.6,"['#설득하기', '#설득의심리학']",118483018
91,2023,8,주술회전 22 일반판,사쿠라지마 콜로니-환생-,https://www.yes24.com//Product/Goods/118683720,['아쿠타미 게게'],서울미디어코믹스(서울문화사),2023년 05월,"5,400원",7,https://www.yes24.com/Product/Goods/118683720?ReviewYn=Y,10.0,[],118683720
92,2023,8,거의 모든 일상 표현의 영어,,https://www.yes24.com//Product/Goods/115081459,['케빈 강'],사람in,2022년 11월,"15,300원",47,https://www.yes24.com/Product/Goods/115081459?ReviewYn=Y,9.8,['#분철'],115081459
